OrderID,Date,Region,Fabric Type,Product,Buyer Type,Quantity (Meters),Revenue,Defect Rate (%)
TX-2043,2024-08-15,Karachi,Linen,Bedsheet,Local Retailer,643.0,3620.48,10.52
TX-2044,2024-08-20,Faisalabad,Denim,Bedsheet,Export - USA,2778.0,22974.060000000005,8.79
TX-2045,2024-02-23,Lahore,Cotton,Bedsheet,Wholesale Distributor,4556.0,47792.44,11.86
TX-2046,2024-03-08,Punjab,Denim,Bedsheet,Export - Europe,3521.0,33484.71,5.95
TX-2047,2023-05-26,Karachi,Polyester,Towel,Export - Europe,4319.0,30189.81,9.66
TX-2048,2023-05-26,Multan,Linen,Towel,Export - Europe,3363.0,18933.69,11.26
TX-2049,2023-07-17,Multan,Polyester,Curtain Cloth,Export - USA,3491.0,24646.46,5.95
TX-2050,2024-05-16,Lahore,Denim,Towel,Export - USA,801.0,8442.54,1.56
TX-2051,2023-03-23,Karachi,Silk,Garment Lot,Local Retailer,1636.0,9390.64,8.23
TX-2052,2024-09-17,Lahore,Denim,Curtain Cloth,Export - USA,4195.0,19255.05,3.34
TX-2053,2023-09-28,Punjab,Denim,Bedsheet,Wholesale Distributor,3093.0,29414.43,5.31
TX-2054,2024-12-06,Lahore,Linen,Towel,Wholesale Distributor,3471.0,12912.12,5.95
TX-2055,2023-12-30,Faisalabad,Linen,Towel,Wholesale Distributor,1349.0,6974.33,7.66
TX-2056,2023-12-30,Lahore,Linen,Garment Lot,Export - Europe,1402.0,7893.26,5.95
TX-2057,2024-07-18,Sindh,Linen,Curtain Cloth,Export - Europe,4216.0,11088.08,5.95
TX-2058,2024-03-23,Punjab,Silk,Shirt Fabric,Local Retailer,1059.0,11691.36,3.19
TX-2059,2024-06-19,Sindh,Cotton,Towel,Export - Europe,1354.0,18197.76,10.89
TX-2060,2024-03-07,Multan,Cotton,Towel,Export - USA,1786.0,16359.76,1.34
TX-2061,2024-03-07,Multan,Linen,Garment Lot,Export - Europe,4423.0,58737.44,1.29
TX-2062,2024-10-11,Multan,Cotton,Towel,Export - USA,3521.0,49610.89,9.12
TX-2063,2024-02-05,Multan,Linen,Bedsheet,Export - Europe,794.0,6089.98,5.95
TX-2064,2023-12-23,Multan,Linen,Garment Lot,Export - Europe,2374.0,11893.74,9.2
